"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-27-23 / 11:54 PM","Lower","109","1","2","1800"
"01-27-23 / 11:54 PM","Upper","204","24","2","765"
"01-27-23 / 03:34 PM","Field","F1","24","6","1732.31"
"01-27-23 / 03:34 PM","Mezzanine Level","M12","17","6","1111.5"
"01-27-23 / 11:54 AM","Upper","202","22","2","720"
"01-27-23 / 11:54 AM","Upper","211","17","6","848.61"
"01-26-23 / 09:14 PM","Lower","116","21","2","1302.08"
"01-26-23 / 05:16 PM","Upper","223","15","2","715.5"
"01-26-23 / 05:16 PM","Upper","222","10","1","540"
"01-26-23 / 05:16 PM","Upper","205","27","2","969.86"
"01-26-23 / 05:16 PM","Upper","201","29","2","832.5"
"01-26-23 / 01:32 PM","Lower","119","31","1","765"
"01-25-23 / 11:06 PM","Field","F5","11","1","990"
"01-25-23 / 11:06 PM","Lower","122","25","2","1170"
"01-25-23 / 11:06 PM","Upper","225","3","1","654.3"
"01-25-23 / 10:42 AM","Field","F9","7","2","1080"
"01-25-23 / 10:42 AM","Lower","134","34","4","1035"
"01-25-23 / 01:14 AM","Upper","210","15","2","720"
"01-25-23 / 01:14 AM","Field","F7","17","2","1530"
"01-24-23 / 09:19 PM","Club Level","C24","17","2","1080"
"01-24-23 / 05:29 PM","Upper","224","29","3","980"
"01-24-23 / 05:29 PM","Upper","225","26","2","1038.8"
"01-24-23 / 05:29 PM","Upper","205","24","1","720"
"01-24-23 / 05:29 PM","Lower","108","48","2","1519.46"
"01-24-23 / 05:29 PM","Lower","114","34","2","1671.41"
"01-24-23 / 05:29 PM","Upper","240","9","2","744.8"
"01-24-23 / 05:29 PM","Upper","205","27","2","963.3"
"01-24-23 / 05:29 PM","Upper","225","24","6","1097.6"
"01-24-23 / 05:29 PM","Upper","201","26","4","1068.2"
"01-24-23 / 05:29 PM","Upper","244","29","6","1009.4"
"01-24-23 / 05:29 PM","Upper","201","25","3","848.75"
"01-24-23 / 10:46 AM","Club Level","C4","18","3","1500"
"01-24-23 / 10:46 AM","Lower","110","26","2","1215"
"01-24-23 / 12:58 AM","Club Level","C16","17","6","1115.31"
"01-24-23 / 12:58 AM","Lower","114","25","2","1139.75"
"01-24-23 / 12:58 AM","Club Level","C36","10","2","675"
"01-23-23 / 04:37 PM","Lower","105","2","2","1170"
"01-23-23 / 04:37 PM","Club Suites","CS111","10","1","2250"
"01-23-23 / 04:37 PM","Lower","115","25","2","1133.79"
"01-23-23 / 04:37 PM","Lower","137","24","3","1286.74"
"01-23-23 / 09:12 AM","Club Level","C38","11","2","900"
"01-23-23 / 05:48 AM","Upper","213","11","3","1068.31"
"01-23-23 / 02:20 AM","Upper","225","10","2","771.15"
"01-22-23 / 10:33 PM","Upper","210","15","3","720"
"01-22-23 / 06:49 PM","Lower","107","25","5","1281.17"
"01-22-23 / 06:49 PM","Lower","105","3","2","1980"
"01-22-23 / 06:49 PM","Club Level","C6","17","6","1298.83"
"01-22-23 / 06:49 PM","Upper","211","10","2","696.6"
"01-22-23 / 02:55 PM","Upper","206","23","2","900"
"01-22-23 / 04:49 AM","Upper","225","3","1","654.3"
"01-22-23 / 01:06 AM","Upper","225","10","2","1080"
"01-22-23 / 01:06 AM","Upper","228","20","2","612"
"01-21-23 / 08:58 PM","Upper","217","3","2","675"
"01-21-23 / 05:01 PM","Lower","115","21","2","1123.26"
"01-21-23 / 12:54 PM","Upper","226","17","2","985.85"
"01-20-23 / 09:35 PM","Mezzanine Level","M11","15","2","1395"
"01-20-23 / 09:35 PM","Upper","225","12","2","1710"
"01-20-23 / 05:21 PM","Lower","101","23","2","1579.2"
"01-20-23 / 05:21 PM","Lower","121","16","2","1260"
"01-20-23 / 05:21 PM","Lower","115","22","2","1215"
"01-20-23 / 05:21 PM","Mezzanine Level","M7","17","6","1103.86"
"01-20-23 / 05:21 PM","Mezzanine Level","M13","15","2","1661.45"
"01-20-23 / 08:32 AM","Field","F2","28","4","1350"
"01-20-23 / 08:32 AM","Mezzanine Level","M14","17","2","899.1"
"01-20-23 / 04:57 AM","Club Level","C2","10","3","1102.92"
"01-20-23 / 04:57 AM","Upper","223","15","4","765"
"01-20-23 / 12:17 AM","Club Level","C19","15","3","990"
"01-20-23 / 12:17 AM","Upper","211","11","2","1091.7"
"01-19-23 / 08:01 PM","Upper","218","14","1","540"
"01-19-23 / 08:01 PM","Club Level","C25","10","2","810"
"01-19-23 / 03:56 PM","Lower","137","26","4","1669.45"
"01-19-23 / 11:56 AM","Lower","108","42","2","990"
"01-19-23 / 03:26 AM","Lower","108","46","2","900"
"01-18-23 / 11:01 PM","Club Level","C22","13","4","1350"
"01-18-23 / 11:01 PM","Lower","119","28","1","1170"
"01-18-23 / 06:57 PM","Lower","114","21","6","1309.5"
"01-18-23 / 06:57 PM","Upper","224","30","2","782.55"
"01-18-23 / 02:56 PM","Upper","206","26","2","585"
"01-18-23 / 03:25 AM","Lower","121","20","4","1710"
"01-17-23 / 03:31 PM","Field","F2","27","2","1813.03"
"01-17-23 / 03:31 PM","Lower","135","18","6","1531.22"
"01-17-23 / 12:06 PM","Lower","136","16","2","1080"
"01-17-23 / 12:06 PM","Lower","125","22","2","899.1"
"01-17-23 / 05:56 AM","Field","F7","3","1","1350"
"01-16-23 / 08:20 AM","Lower","112","21","3","1113.56"
"01-16-23 / 01:40 AM","Club Level","C23","11","2","1057.5"
"01-15-23 / 10:12 PM","Lower","135","6","2","1800"
"01-15-23 / 03:47 AM","Field","F9","27","3","1551.03"
"01-15-23 / 03:47 AM","Field","F12","20","6","1870.05"
"01-15-23 / 03:47 AM","Club Level","C3","11","6","1429.61"
"01-15-23 / 03:47 AM","Upper","220","17","6","1102.01"
"01-15-23 / 03:47 AM","Upper","206","17","4","914.55"
"01-14-23 / 06:53 PM","Field","F2","28","2","2295"
"01-14-23 / 02:23 PM","Lower","116","30","2","900"
"01-14-23 / 06:40 AM","Upper","212","10","2","742.5"
"01-14-23 / 02:23 AM","Field","F8","2","1","3150"
"01-13-23 / 09:33 PM","Lower","114","15","2","1110.8"
"01-13-23 / 04:36 PM","Field","F8","","2","2070"
"01-13-23 / 12:12 PM","Lower","104","25","2","1147.08"
"01-13-23 / 03:31 AM","Field","F14","24","3","1356.06"
"01-12-23 / 10:18 PM","Lower","110","21","4","1102.92"
"01-12-23 / 10:18 PM","Mezzanine Level","M13","11","2","810"
"01-12-23 / 10:18 PM","Club Level","C15","8","3","1161.84"
"01-12-23 / 10:18 PM","Club Level","C24","14","3","990"
"01-12-23 / 05:51 PM","Upper","227","11","2","675"
"01-12-23 / 01:33 PM","Upper","202","27","1","720"
"01-12-23 / 04:27 AM","Upper","201","2","2","765"
"01-11-23 / 11:40 PM","Upper","213","21","1","900"
"01-11-23 / 07:02 PM","Lower","109","25","2","1530"
"01-11-23 / 07:02 PM","Upper","220","30","5","697.5"
"01-11-23 / 07:02 PM","Field","F4","8","2","2385"
"01-11-23 / 02:14 AM","Field","F12","1","1","2520"
"01-10-23 / 02:11 PM","Club Level","C2","9","3","1011.01"
"01-10-23 / 02:11 PM","Lower","105","5","2","1800"
"01-10-23 / 02:11 PM","Upper","242","17","3","741.68"
"01-10-23 / 10:16 AM","Upper","240","13","2","653.4"
"01-10-23 / 03:43 AM","Upper","226","23","2","748.84"
"01-10-23 / 03:43 AM","Field","F9","25","4","1525.5"
"01-10-23 / 12:14 AM","Upper","225","12","2","765"
"01-10-23 / 12:14 AM","Field","F9","18","2","1351.08"
"01-10-23 / 12:14 AM","Field","F9","15","6","2155.5"
"01-10-23 / 12:14 AM","Upper","217","3","2","720"
"01-09-23 / 01:22 PM","Lower","114","21","4","1161"
"01-09-23 / 03:23 AM","Lower","105","22","2","990"
"01-08-23 / 11:31 PM","Lower","121","15","3","1839.58"
"01-08-23 / 11:31 PM","Upper","205","25","4","809.1"
"01-08-23 / 11:31 PM","Upper","240","30","2","666"
"01-08-23 / 11:31 PM","Upper","230","30","2","675"
"01-08-23 / 07:34 PM","Field","F4","3","3","1641.5"
"01-08-23 / 04:00 PM","Field","F10","16","2","1575"
"01-08-23 / 12:33 PM","Field","F1","24","2","1650.28"
"01-08-23 / 12:13 AM","Upper","203","28","2","719.1"
"01-07-23 / 01:05 PM","Club Level","C4","17","2","877.5"
"01-06-23 / 11:19 PM","Lower","117","17","4","1260"
"01-06-23 / 11:19 PM","Upper","203","4","6","680.13"
"01-06-23 / 07:22 PM","Mezzanine Level","M13","18","2","630"
"01-06-23 / 12:11 PM","Lower","114","12","2","1080"
"01-06-23 / 12:11 PM","Field","F3","24","2","2250"
"01-06-23 / 09:06 AM","Upper","243","11","4","612.12"
"01-06-23 / 02:04 AM","Lower","103","19","2","891"
"01-06-23 / 02:04 AM","Upper","230","17","2","675"
"01-05-23 / 10:02 PM","Upper","242","","1","405"
"01-05-23 / 05:53 PM","Lower","111","21","4","1268.36"
"01-05-23 / 05:53 PM","Upper","213","13","1","585"
"01-05-23 / 02:20 PM","Lower","118","1","3","1102.92"
"01-05-23 / 10:51 AM","Field","F10","9","1","1125"
"01-05-23 / 10:51 AM","Upper","225","16","2","720"
"01-05-23 / 07:03 AM","Lower","120","14","2","1350"
"01-05-23 / 12:31 AM","Lower","137","26","2","1470.56"
"01-05-23 / 12:31 AM","Club Level","C36","5","3","900"
"01-05-23 / 12:31 AM","Upper","228","13","1","1485"
"01-04-23 / 08:59 PM","Upper","220","18","2","630"
"01-04-23 / 08:59 PM","Upper","201","3","3","734.36"
"01-04-23 / 08:59 PM","Upper","220","19","2","607.5"
"01-04-23 / 05:13 PM","Field","F2","19","2","1530"
"01-04-23 / 05:13 PM","Lower","104","25","2","1224.5"
"01-04-23 / 05:13 PM","Lower","136","25","6","1959.5"
"01-04-23 / 05:13 PM","Lower","123","25","4","1714.5"
"01-04-23 / 05:13 PM","Field","F2","25","6","2057.5"
"01-04-23 / 05:13 PM","Field","F9","15","6","2155.5"
"01-04-23 / 05:13 PM","Field","F15","29","3","1812.5"
"01-04-23 / 03:18 AM","Lower","104","16","2","900"
"01-03-23 / 11:18 PM","Field","F3","5","2","1620"
"01-03-23 / 11:18 PM","Lower","108","21","3","970.97"
"01-03-23 / 07:19 PM","Field","F10","18","2","1181.82"
"01-03-23 / 07:19 PM","Lower","106","22","2","855"
"01-03-23 / 03:25 PM","Upper","226","23","2","844.87"
"01-03-23 / 09:05 AM","Field","F9","7","2","2055.43"
"01-03-23 / 02:59 AM","Upper","230","24","2","540"
"01-02-23 / 11:17 PM","Lower","117","25","2","1098"
"01-02-23 / 07:27 PM","Upper","206","1","2","1152"
"01-02-23 / 04:05 PM","Lower","120","5","4","1800"
"01-02-23 / 04:05 PM","Upper","207","25","2","706.5"
"01-02-23 / 04:05 PM","Upper","222","19","2","765"
"01-01-23 / 09:30 PM","Field","F14","19","2","1530"
"01-01-23 / 09:30 PM","Field","F13","6","1","1850.03"
"01-01-23 / 03:16 PM","Lower","116","21","4","1224.5"
"01-01-23 / 12:26 PM","Upper","204","30","2","720"
"01-01-23 / 12:26 PM","Club Level","C25","1","3","1035"
"01-01-23 / 12:59 AM","Upper","229","11","1","513"
"12-31-22 / 09:33 PM","Field","F6","12","2","2250"
"12-31-22 / 09:33 PM","Mezzanine Level","M13","7","2","765"
"12-31-22 / 01:23 AM","Lower","115","21","4","1132.96"
"12-30-22 / 05:54 PM","Upper","210","6","2","629.1"
"12-30-22 / 05:54 PM","Field","F15","11","2","2609.1"
"12-30-22 / 01:52 PM","Upper","224","20","1","584.1"
"12-30-22 / 10:02 AM","Upper","201","13","3","585"
"12-29-22 / 11:12 PM","Upper","224","19","3","765"
"12-29-22 / 07:22 PM","Lower","124","30","2","810"
"12-29-22 / 07:22 PM","Lower","124","31","1","720"
"12-29-22 / 03:04 PM","Upper","220","30","2","657"
"12-29-22 / 03:04 PM","Upper","213","16","2","675"
"12-28-22 / 04:18 PM","Lower","121","15","1","765"
"12-28-22 / 04:18 PM","Upper","220","6","3","810"
"12-28-22 / 04:17 PM","Club Level","C39","18","3","1452.3"
"12-28-22 / 04:17 PM","Field","F7","17","3","1439.1"
"12-28-22 / 04:17 PM","Lower","112","26","2","1023"
"12-28-22 / 02:13 AM","Lower","122","25","2","1350"
"12-27-22 / 10:22 PM","Upper","209","19","2","700"
"12-27-22 / 06:37 PM","Lower","107","39","2","978.73"
"12-27-22 / 02:54 PM","Field","F9","3","3","2058"
"12-27-22 / 02:54 PM","Field","F14","22","4","1395"
"12-27-22 / 02:54 PM","Upper","224","29","2","1800"
"12-27-22 / 12:28 AM","Lower","117","25","2","1098"
"12-27-22 / 12:28 AM","Upper","206","29","2","696.46"
"12-26-22 / 02:39 PM","Lower","115","21","6","1132.96"
"12-25-22 / 09:40 PM","Upper","242","29","4","643.5"
"12-25-22 / 09:40 PM","Upper","230","30","2","666"
"12-25-22 / 09:40 PM","Lower","101","6","2","1485"
"12-25-22 / 03:18 PM","Lower","137","10","4","1620"
"12-25-22 / 03:18 PM","Upper","219","27","2","684"
"12-25-22 / 11:22 AM","Upper","222","17","2","675"
"12-25-22 / 11:22 AM","Club Level","C2","17","5","1462.5"
"12-25-22 / 11:22 AM","Lower","135","9","3","1597.5"
"12-25-22 / 11:22 AM","Lower","112","21","3","1210.56"
"12-25-22 / 11:22 AM","Upper","220","6","3","810"
"12-25-22 / 11:22 AM","Lower","102","27","2","1350"
"12-25-22 / 03:40 AM","Upper","224","20","2","709.49"
"12-25-22 / 03:40 AM","Upper","210","6","2","585"
"12-24-22 / 10:57 PM","Upper","206","1","2","900"
"12-24-22 / 10:57 PM","Upper","210","5","2","899.1"
"12-24-22 / 03:53 PM","Club Level","C17","11","4","1256.15"
"12-24-22 / 03:53 PM","Upper","215","17","2","720"
"12-24-22 / 03:53 PM","Field","F7","3","4","1755"
"12-24-22 / 03:53 PM","Field","F10","9","2","1305"
"12-24-22 / 03:53 PM","Upper","206","15","4","810"
"12-24-22 / 03:53 PM","Lower","108","26","3","1125"
"12-24-22 / 03:53 PM","Field","F9","27","4","1493.1"
"12-24-22 / 01:50 AM","Upper","225","19","2","1170"
"12-24-22 / 01:50 AM","Upper","229","17","2","639.01"
"12-24-22 / 01:50 AM","Upper","202","20","2","675"
"12-24-22 / 01:50 AM","Field","F9","32","1","990"
"12-23-22 / 06:28 PM","Club Level","C38","9","2","900"
"12-23-22 / 06:28 PM","Lower","135","23","6","900"
"12-23-22 / 06:28 PM","Field","F9","15","2","1603.87"
"12-23-22 / 06:28 PM","Field","F2","5","4","2239.2"
"12-23-22 / 06:28 PM","Upper","220","30","2","670.5"
"12-23-22 / 01:37 AM","Club Level","C22","14","2","1215"
"12-23-22 / 01:37 AM","Upper","231","25","2","809.1"
"12-23-22 / 01:37 AM","Lower","116","31","2","860.39"
"12-23-22 / 01:37 AM","Lower","106","17","2","855"
"12-23-22 / 01:37 AM","Upper","219","27","2","684"
"12-22-22 / 11:14 AM","Lower","104","22","2","809.1"
"12-22-22 / 11:14 AM","Upper","214","17","2","810"
"12-22-22 / 11:14 AM","Field","F6","14","2","1345.5"
"12-22-22 / 07:26 AM","Field","F9","3","3","2058"
"12-22-22 / 07:26 AM","Lower","134","12","3","1037.82"
"12-22-22 / 03:31 AM","Club Level","C3","11","2","1233.55"
"12-22-22 / 03:31 AM","Lower","101","3","2","1980"
"12-22-22 / 03:31 AM","Upper","204","23","2","585"
"12-22-22 / 03:31 AM","Upper","227","11","4","765"
"12-21-22 / 11:40 PM","Upper","220","1","2","855"
"12-21-22 / 11:40 PM","Lower","117","21","4","1115.1"
"12-21-22 / 07:18 PM","Upper","219","9","2","675"
"12-21-22 / 07:17 PM","Field","F12","12","2","1980"
"12-21-22 / 03:06 PM","Lower","121","22","2","1350"
"12-21-22 / 03:06 PM","Upper","207","26","2","610.13"
"12-21-22 / 11:20 AM","Club Level","C22","3","2","1452.3"
"12-21-22 / 11:20 AM","Club Level","C4","11","3","1211.29"
"12-21-22 / 11:20 AM","Lower","115","17","2","810"
"12-21-22 / 03:29 AM","Field","F10","17","2","1328.9"
"12-20-22 / 11:53 PM","Field","F7","3","4","1935"
"12-20-22 / 11:53 PM","Club Level","C19","11","2","900"
"12-20-22 / 11:53 PM","Lower","103","4","1","990"
"12-20-22 / 07:44 PM","Lower","109","2","1","630"
"12-20-22 / 07:44 PM","Upper","224","20","2","585"
"12-20-22 / 07:44 PM","Lower","123","30","2","1561.56"
"12-20-22 / 02:35 PM","Lower","101","3","2","1620"
"12-20-22 / 02:35 PM","Field","F6","13","2","1350"
"12-20-22 / 02:00 AM","Field","F2","5","2","2239.2"
"12-20-22 / 02:00 AM","Lower","123","3","4","1485"
"12-20-22 / 02:00 AM","Lower","113","25","4","1080"
"12-19-22 / 04:32 PM","Field","F9","15","2","1603.87"
"12-19-22 / 04:32 PM","Upper","207","28","2","645.05"
"12-19-22 / 04:32 PM","Field","F13","25","6","3312.4"
"12-19-22 / 04:32 PM","Lower","116","25","3","1892.8"
"12-19-22 / 04:32 PM","Upper","205","25","6","1112.02"
"12-19-22 / 04:32 PM","Club Level","C15","11","2","1251"
"12-19-22 / 04:32 PM","Field","F4","8","2","1799.1"
"12-19-22 / 04:32 PM","Field","F14","24","2","1463.77"
"12-19-22 / 11:49 AM","Lower","103","26","2","1530"
"12-19-22 / 11:49 AM","Upper","239","25","1","630"
"12-19-22 / 11:49 AM","Upper","204","25","2","612"
"12-18-22 / 10:15 PM","Upper","216","8","2","855"
"12-18-22 / 05:40 PM","Field","F4","3","4","2156"
"12-18-22 / 05:40 PM","Upper","223","17","2","662.4"
"12-18-22 / 05:40 PM","Field","F14","14","2","1791.17"
"12-18-22 / 01:15 PM","Mezzanine Level","M14","16","2","1350"
"12-18-22 / 12:09 AM","Field","F7","5","2","1485"
"12-18-22 / 12:09 AM","Upper","211","15","2","810"
"12-17-22 / 07:14 PM","Lower","105","14","2","1890"
"12-17-22 / 07:14 PM","Upper","220","30","4","684"
"12-17-22 / 07:14 PM","Upper","230","30","2","666"
"12-17-22 / 02:30 PM","Field","F10","17","2","1343.08"
"12-17-22 / 02:30 PM","Mezzanine Level","M13","17","2","1077.67"
"12-17-22 / 02:30 PM","Upper","230","8","2","711"
"12-17-22 / 05:16 AM","Lower","117","21","2","1251.94"
"12-17-22 / 12:40 AM","Field","F13","13","2","1935"
"12-17-22 / 12:40 AM","Upper","239","24","1","540"
"12-16-22 / 02:25 PM","Mezzanine Level","M11","14","2","990"
"12-16-22 / 02:25 PM","Club Level","C15","17","1","720"
"12-16-22 / 02:25 PM","Lower","124","24","6","968.26"
"12-16-22 / 05:12 AM","Lower","113","25","2","1080"
"12-16-22 / 12:30 AM","Lower","107","21","4","1165.5"
"12-16-22 / 12:30 AM","Field","F10","6","2","1260"
"12-16-22 / 12:30 AM","Lower","105","28","2","1620"
"12-16-22 / 12:30 AM","Lower","123","33","2","1080"
"12-16-22 / 12:30 AM","Upper","242","20","3","675"
"12-15-22 / 07:36 PM","Upper","240","30","2","661.5"
"12-15-22 / 07:36 PM","Lower","125","16","3","1066.03"
"12-15-22 / 07:36 PM","Upper","207","26","2","718.2"
"12-15-22 / 07:36 PM","Upper","229","2","1","630"
"12-15-22 / 07:36 PM","Field","F4","3","6","2156"
"12-15-22 / 07:36 PM","Upper","229","4","3","804.13"
"12-15-22 / 02:07 PM","Club Suites","CS121","29","1","899.1"
"12-15-22 / 02:07 PM","Lower","114","29","2","990"
"12-15-22 / 12:31 AM","Lower","115","","2","855"
"12-15-22 / 12:31 AM","Upper","230","10","2","648"
"12-15-22 / 12:31 AM","Club Suites","CS135","9","1","620.22"
"12-15-22 / 12:30 AM","Upper","230","17","2","657"
"12-14-22 / 07:23 PM","Lower","101","14","2","1345.5"
"12-14-22 / 07:23 PM","Lower","116","33","3","1500"
"12-14-22 / 02:11 PM","Upper","214","12","3","810"
"12-14-22 / 02:11 PM","Field","F4","17","2","1323"
"12-14-22 / 05:19 AM","Lower","111","25","6","1677.13"
"12-14-22 / 01:03 AM","Lower","134","27","2","720"
"12-13-22 / 07:45 PM","Club Level","C26","2","1","990"
"12-13-22 / 07:45 PM","Field","F9","27","3","1551.03"
"12-13-22 / 07:45 PM","Field","F14","24","2","1518.99"
"12-13-22 / 07:45 PM","Upper","240","13","4","693"
"12-13-22 / 07:45 PM","Field","F2","11","4","2375"
"12-13-22 / 03:07 PM","Club Level","C27","1","2","1080"
"12-13-22 / 03:07 PM","Upper","225","25","3","855"
"12-13-22 / 03:07 PM","Upper","216","5","2","720"
"12-13-22 / 03:07 PM","Upper","222","10","2","630"
"12-13-22 / 03:07 PM","Upper","216","10","2","711"
"12-13-22 / 03:07 PM","Upper","219","27","2","684"
"12-13-22 / 10:17 AM","Upper","214","3","1","540"
"12-13-22 / 06:00 AM","Upper","240","15","4","886.5"
"12-13-22 / 06:00 AM","Field","F15","28","2","3600"
"12-13-22 / 06:00 AM","Lower","114","25","5","1139.75"
"12-13-22 / 06:00 AM","Lower","137","26","6","1378.65"
"12-13-22 / 06:00 AM","Upper","214","11","3","969.03"
"12-13-22 / 06:00 AM","Field","F8","5","4","2183.62"
"12-13-22 / 06:00 AM","Lower","103","26","4","1214.1"
"12-12-22 / 03:56 PM","Upper","201","17","2","1309.5"
"12-12-22 / 03:56 PM","Field","F2","28","2","1799.1"
"12-12-22 / 03:56 PM","Lower","137","16","2","1350"
"12-12-22 / 11:07 AM","Lower","134","18","2","2250"
"12-12-22 / 06:31 AM","Upper","242","25","1","405"
"12-12-22 / 01:39 AM","Club Level","C6","14","2","1583.1"
"12-12-22 / 01:39 AM","Field","F2","2","4","2744"
"12-12-22 / 01:39 AM","Upper","219","9","2","720"
"12-12-22 / 01:39 AM","Field","F3","16","4","2205"
"12-12-22 / 01:39 AM","Field","F2","16","6","1813"
"12-11-22 / 07:51 PM","Club Level","C4","13","2","972"
"12-11-22 / 07:50 PM","Lower","124","9","1","1035"
"12-11-22 / 03:02 PM","Upper","214","17","2","675"
"12-11-22 / 05:52 AM","Club Level","C3","17","6","939.91"
"12-11-22 / 05:52 AM","Upper","241","7","2","630"
"12-11-22 / 01:02 AM","Upper","201","21","1","645.05"
"12-10-22 / 07:43 PM","Upper","221","5","2","855"
"12-10-22 / 07:43 PM","Lower","106","26","2","990"
"12-10-22 / 02:28 PM","Field","F3","27","3","1519.04"
"12-10-22 / 01:13 AM","Upper","229","17","3","675"
"12-10-22 / 01:13 AM","Field","F6","5","1","1170"
"12-10-22 / 01:13 AM","Lower","108","21","2","1080"
"12-10-22 / 01:13 AM","Mezzanine Level","M11","18","2","1080"
"12-09-22 / 08:17 PM","Upper","215","17","6","675"
"12-09-22 / 03:42 PM","Upper","219","27","2","684"
"12-09-22 / 03:42 PM","Lower","117","4","2","1395"
"12-09-22 / 03:42 PM","Upper","242","10","3","720"
"12-09-22 / 03:42 PM","Lower","107","26","2","967.17"
"12-09-22 / 11:20 AM","Mezzanine Level","M13","19","2","900"
"12-09-22 / 12:10 AM","Lower","122","23","2","1350"
"12-09-22 / 12:10 AM","Mezzanine Level","M9","17","2","734.99"
"12-09-22 / 12:10 AM","Upper","207","21","2","585"
"12-09-22 / 12:10 AM","Upper","214","9","2","630"
"12-09-22 / 12:10 AM","Lower","109","26","1","899.1"
"12-08-22 / 03:18 PM","Club Level","C3","11","4","1129.5"
"12-07-22 / 01:49 PM","Field","F8","5","2","2183.62"
"12-07-22 / 10:49 AM","Lower","119","14","1","810"
"12-06-22 / 11:41 PM","Upper","223","15","2","945"
"12-06-22 / 11:41 PM","Field","F4","15","4","1424.1"
"12-06-22 / 11:41 PM","Lower","113","26","2","990"
"12-06-22 / 11:41 PM","Upper","220","25","2","675"
"12-06-22 / 08:43 PM","Mezzanine Level","M8","17","6","773.1"
"12-06-22 / 08:43 PM","Upper","219","27","4","688.5"
"12-06-22 / 01:55 PM","Upper","240","11","2","562.5"
"12-06-22 / 11:00 AM","Upper","213","17","4","629.1"
"12-06-22 / 05:10 AM","Lower","106","30","2","1098.04"
"12-05-22 / 11:05 PM","Lower","121","15","2","1620"
"12-05-22 / 11:05 PM","Upper","207","21","2","585"
"12-05-22 / 07:32 PM","Upper","209","20","6","697.5"
"12-05-22 / 03:56 PM","Mezzanine Level","M10","17","2","945"
"12-05-22 / 03:56 PM","Upper","205","5","2","720"
"12-05-22 / 01:13 AM","Field","F7","22","4","1688.28"
"12-05-22 / 01:13 AM","Upper","216","10","2","750.6"
"12-05-22 / 01:13 AM","Field","F7","9","6","1357.03"
"12-05-22 / 01:13 AM","Field","F7","25","4","1598.56"
"12-04-22 / 09:58 PM","Field","F8","5","2","2130.04"
"12-04-22 / 09:58 PM","Upper","240","20","1","1350"
"12-04-22 / 09:58 PM","Field","F1","29","2","1697.5"
"12-04-22 / 06:14 PM","Club Level","C35","1","2","1259.99"
"12-04-22 / 06:14 PM","Field","F2","28","4","1800"
"12-04-22 / 02:47 PM","Club Level","C16","18","2","855"
"12-04-22 / 02:47 PM","Club Suites","CS134","9","2","675"
"12-04-22 / 11:29 AM","Upper","210","5","1","710.39"
"12-04-22 / 11:29 AM","Upper","219","25","2","731.7"
"12-04-22 / 08:25 AM","Field","F4","15","6","1355.48"
"12-04-22 / 02:40 AM","Upper","219","27","2","684"
"12-03-22 / 10:37 PM","Lower","104","14","2","1395"
"12-03-22 / 06:37 PM","Field","F10","1","2","1452.3"
"12-03-22 / 06:37 PM","Upper","201","18","2","697.5"
"12-03-22 / 02:56 PM","Lower","136","28","2","1035"
"12-03-22 / 02:56 PM","Lower","104","28","3","1350"
"12-03-22 / 02:56 PM","Upper","225","30","4","634.5"
"12-03-22 / 01:03 AM","Lower","108","21","2","1124.23"
"12-03-22 / 01:03 AM","Upper","220","29","1","1500"
"12-03-22 / 01:03 AM","Lower","135","27","6","1355.48"
"12-03-22 / 01:03 AM","Upper","227","11","2","675"
"12-02-22 / 04:44 PM","Field","F13","9","4","2158.2"
"12-02-22 / 04:44 PM","Field","F12","22","3","1454.03"
"12-02-22 / 04:44 PM","Upper","220","25","2","585"
"12-02-22 / 04:44 PM","Field","F12","20","2","1597.5"
"12-02-22 / 04:44 PM","Upper","244","17","6","872.51"
"12-02-22 / 12:42 PM","Club Level","C5","11","2","1800"
"12-02-22 / 12:42 PM","Mezzanine Level","M12","13","2","872.03"
"12-02-22 / 12:42 PM","Club Level","C26","1","4","1051.05"
"12-02-22 / 09:21 AM","Lower","115","25","2","1216.15"
"12-02-22 / 02:59 AM","Lower","120","33","3","1350"
"12-01-22 / 11:09 PM","Club Level","C4","11","3","945"
"12-01-22 / 03:45 PM","Lower","102","14","2","1485"
"12-01-22 / 12:32 PM","Lower","122","5","2","1620"
"12-01-22 / 12:32 PM","Upper","220","21","4","540"
"12-01-22 / 12:32 PM","Upper","213","17","2","821.7"
"12-01-22 / 01:10 AM","Lower","119","15","5","2102.1"
"12-01-22 / 01:10 AM","Lower","117","4","2","1080"
"11-30-22 / 10:16 PM","Club Level","C26","8","1","765"
"11-30-22 / 10:16 PM","Field","F5","1","4","2970"
"11-30-22 / 10:16 PM","Field","F8","20","2","2700"
"11-30-22 / 07:01 PM","Lower","122","29","2","990"
"11-30-22 / 07:01 PM","Club Level","C15","8","3","1355.48"
"11-30-22 / 03:50 PM","Club Level","C40","11","2","2250"
"11-30-22 / 03:50 PM","Upper","243","21","2","697.5"
"11-30-22 / 03:50 PM","Lower","116","24","2","1291.5"
"11-30-22 / 12:55 PM","Upper","205","25","2","954.18"
"11-30-22 / 09:54 AM","Lower","135","12","1","810"
"11-30-22 / 01:52 AM","Lower","119","8","2","1701"
"11-29-22 / 07:43 PM","Field","F3","27","3","2183.62"
"11-29-22 / 07:43 PM","Field","F9","25","2","1445.78"
"11-29-22 / 04:46 PM","Upper","201","18","2","743.02"
